,tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,image_url,image_number,first_prediction,first_pred_confidence,first_pred_is_dog,second_prediction,second_pred_confidence,second_pred_is_dog,third_prediction,third_pred_confidence,third_pred_is_dog,favorite_count,retweet_count
0,875021211251597312,2017-06-14,Twitter for iPhone,Guys please stop sending pictures without any dogs in th- oh never mind hello excuse me sir. 12/10 stealthy as h*ck https://t.co/brCQoqc8AW,"https://twitter.com/dog_rates/status/875021211251597312/photo/1,https://twitter.com/dog_rates/status/875021211251597312/photo/1",12.0,10.0,None,None,https://pbs.twimg.com/media/DCSzF3NVoAAPzT4.jpg,2,West Highland White Terrier,0.7143189999999999,True,Siberian Husky,0.0919133,True,Great Pyrenees,0.0460382,True,25408.0,4736.0
1,874680097055178752,2017-06-13,Twitter for iPhone,Meet Cash. He hath acquired a stick. A very good stick tbh. 12/10 would pat head approvingly https://t.co/lZhtizkURD,https://twitter.com/dog_rates/status/874680097055178752/photo/1,12.0,10.0,Cash,None,https://pbs.twimg.com/media/DCN85nGUwAAzG_q.jpg,1,Labrador Retriever,0.836052,True,Staffordshire Bullterrier,0.0470691,True,Beagle,0.0360071,True,27757.0,4670.0
2,874057562936811520,2017-06-12,Twitter for iPhone,"I can't believe this keeps happening. This, is a birb taking a bath. We only rate dogs. Please only send dogs. Thank you... 12/10 https://t.co/pwY9PQhtP2",https://twitter.com/dog_rates/status/874057562936811520/photo/1,12.0,10.0,None,None,https://pbs.twimg.com/media/DCFGtdoXkAEsqIw.jpg,1,Flat-Coated Retriever,0.8321770000000001,True,Black-And-Tan Coonhound,0.040436900000000005,True,Newfoundland,0.0282283,True,22605.0,3972.0
3,873580283840344065,2017-06-10,Twitter for iPhone,"We usually don't rate Deck-bound Saskatoon Black Bears, but this one is h*ckin flawless. Sneaky tongue slip too. 13/10 would hug firmly https://t.co/mNuMH9400n",https://twitter.com/dog_rates/status/873580283840344065/photo/1,13.0,10.0,None,None,https://pbs.twimg.com/media/DB-UotKXkAEHXVi.jpg,1,Newfoundland,0.678537,True,Tibetan Mastiff,0.244022,True,Chow,0.0485295,True,24198.0,3972.0
4,872820683541237760,2017-06-08,Twitter for iPhone,"Here are my favorite #dogsatpollingstations 
Most voted for a more consistent walking schedule and to increase daily pats tenfold. All 13/10 https://t.co/17FVMl4VZ5","https://twitter.com/dog_rates/status/872820683541237760/photo/1,https://twitter.com/dog_rates/status/872820683541237760/photo/1,https://twitter.com/dog_rates/status/872820683541237760/photo/1,https://twitter.com/dog_rates/status/872820683541237760/photo/1",13.0,10.0,None,None,https://pbs.twimg.com/media/DBzhx0PWAAEhl0E.jpg,3,Pug,0.99912,True,French Bulldog,0.00055192,True,Bull Mastiff,7.28904e-05,True,14707.0,3719.0
5,872620804844003328,2017-06-08,Twitter for iPhone,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love... https://t.co/lUcpnZDPz9,https://twitter.com/dog_rates/status/872620804844003328/photo/1,13.0,10.0,Monkey,None,https://pbs.twimg.com/media/DBwr_hzXkAEnZBW.jpg,1,Cocker Spaniel,0.513191,True,Sussex Spaniel,0.159088,True,Standard Poodle,0.149509,True,20770.0,3737.0
6,872486979161796608,2017-06-07,Twitter for iPhone,We. Only. Rate. Dogs. Do not send in other things like this fluffy floor shark clearly ready to attack. Get it together guys... 12/10 https://t.co/BZHiKx3FpQ,https://twitter.com/dog_rates/status/872486979161796608/photo/1,12.0,10.0,None,None,https://pbs.twimg.com/media/DBuyRlTUwAAYhG9.jpg,1,Pembroke,0.931861,True,Cardigan,0.0377212,True,Chihuahua,0.0119667,True,40674.0,9087.0
7,872261713294495745,2017-06-07,Twitter for iPhone,This is Harry. His ears are activated one at a time. Incredibly rare to witness in person. Very special moment here. 13/10 blessed as h*ck https://t.co/ejHvGDfWoa,"https://twitter.com/dog_rates/status/872261713294495745/photo/1,https://twitter.com/dog_rates/status/872261713294495745/photo/1",13.0,10.0,Harry,None,https://pbs.twimg.com/media/DBrlZk2UQAAfAkd.jpg,2,Labrador Retriever,0.972019,True,Flat-Coated Retriever,0.00817828,True,Chesapeake Bay Retriever,0.00735927,True,34221.0,6394.0
8,872122724285648897,2017-06-06,Twitter for iPhone,This is Kody. He's a baller. Wishes he was a little bit taller. Double dribbles often. Still 12/10 would happily get dunked on https://t.co/PKSpmiefwN,"https://twitter.com/dog_rates/status/872122724285648897/photo/1,https://twitter.com/dog_rates/status/872122724285648897/photo/1",12.0,10.0,Kody,None,https://pbs.twimg.com/media/DBpm-5UXcAUeCru.jpg,1,Basketball,0.808396,False,Pug,0.06673630000000001,True,Dalmatian,0.0545698,True,34468.0,8200.0
9,871879754684805121,2017-06-06,Twitter for iPhone,Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner. 13/10 https://t.co/uK6PNyeh9w,"https://twitter.com/dog_rates/status/871879754684805121/photo/1,https://twitter.com/dog_rates/status/871879754684805121/photo/1",13.0,10.0,Lassie,None,https://pbs.twimg.com/media/DBmKAmBXUAE-pQ-.jpg,1,Shetland Sheepdog,0.969171,True,Collie,0.0182607,True,Pomeranian,0.00851534,True,38064.0,11326.0
